activityID	activityName	categoryName	isSensitive	articleNumber	legalBasisName	securityMeasureName
ACT01	User_Registration	ContactData	FALSE	Article_6	Contract	Encryption
ACT02	Blood_Test_Analysis	HealthData	TRUE	Article_9	Explicit_Consent	Access_Control
ACT03	Employee_Payroll	FinancialData	FALSE	Article_6	Legal_Obligation	Data_Masking
ACT04	Targeted_Ads	BehavioralData	FALSE	Article_6	Consent	Anonymization
ACT05	Fingerprint_Login	BiometricData	TRUE	Article_9	Explicit_Consent	Hardware_Security
ACT06	GPS_Navigation	LocationData	FALSE	Article_6	Vital_Interest	Pseudonymization
ACT07	Customer_Support	IdentificationData	FALSE	Article_6	Legitimate_Interest	Log_Monitoring
ACT08	Genetic_Research	HealthData	TRUE	Article_9	Explicit_Consent	Double_Encryption
ACT09	Credit_Scoring	FinancialData	FALSE	Article_6	Contract	Firewall
ACT10	CCTV_Security	BiometricData	TRUE	Article_32	Public_Task	Video_Encryption
ACT11	Newsletter_Sync	ContactData	FALSE	Article_6	Consent	TLS_Protocol
ACT12	Insurance_Claim	HealthData	TRUE	Article_9	Contract	Audit_Trail
ACT13	App_Usage_Log	BehavioralData	FALSE	Article_6	Legitimate_Interest	Data_Shredding
ACT14	Office_Entry_Badge	IdentificationData	FALSE	Article_6	Contract	Physical_Lock
ACT15	Fraud_Detection	FinancialData	FALSE	Article_6	Legal_Obligation	AI_Monitoring
ACT16	COVID_Tracing	HealthData	TRUE	Article_9	Public_Interest	Minimal_Storage
ACT17	Online_Order_Form	ContactData	FALSE	Article_6	Contract	Secure_Socket_Layer
ACT18	Facial_Recognition	BiometricData	TRUE	Article_9	Explicit_Consent	Biometric_Hash
ACT19	Tax_Reporting	FinancialData	FALSE	Article_6	Legal_Obligation	VPN_Tunnel
ACT20	Delivery_Tracking	LocationData	FALSE	Article_6	Contract	Tokenization
